cod_curso,curso,duracao,cliente,importe_cliente,professor,importe_professor,data_curso,turno,comercial,importe_comercial,pagamento_cliente,pais,cidade,pagamento_comercial
CÓD-001,WORD,15,CLIENTE-001, 375.00 € ,PROFESSOR-003, 180.00 € ,03/09/2021,MANHÃ,COMERCIAL-003, 26.25 € ,SIM,ESPANHA,MADRI,SIM
CÓD-002,EXCEL,20,CLIENTE-002, 600.00 € ,PROFESSOR-002, 240.00 € ,30/09/2021,TARDE,COMERCIAL-002, 48.00 € ,SIM,ITÁLIA,ROMA,SIM
CÓD-003,ACCESS,18,CLIENTE-004, 720.00 € ,PROFESSOR-001, 216.00 € ,04/08/2019,MANHÃ,COMERCIAL-004, 72.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-004,WORD,25,CLIENTE-003, 625.00 € ,PROFESSOR-004, 300.00 € ,07/03/2019,MANHÃ,COMERCIAL-001, 43.75 € ,SIM,ITÁLIA,ROMA,NÃO
CÓD-005,WORD,20,CLIENTE-005, 500.00 € ,PROFESSOR-005, 240.00 € ,04/03/2021,MANHÃ,COMERCIAL-003, 35.00 € ,NÃO,FRANÇA,PARIS,NÃO
CÓD-006,WORD,10,CLIENTE-003, 250.00 € ,PROFESSOR-002, 120.00 € ,21/01/2019,MANHÃ,COMERCIAL-002, 17.50 € ,NÃO,ITÁLIA,ROMA,SIM
CÓD-007,EXCEL,12,CLIENTE-004, 360.00 € ,PROFESSOR-001, 144.00 € ,18/07/2020,TARDE,COMERCIAL-004, 28.80 € ,NÃO,ESPANHA,MADRI,SIM
CÓD-008,EXCEL,15,CLIENTE-003, 450.00 € ,PROFESSOR-004, 180.00 € ,16/04/2019,TARDE,COMERCIAL-001, 36.00 € ,NÃO,ITÁLIA,ROMA,SIM
CÓD-009,EXCEL,20,CLIENTE-006, 600.00 € ,PROFESSOR-003, 240.00 € ,06/08/2021,TARDE,COMERCIAL-002, 48.00 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-010,INTERNET,25,CLIENTE-004, 625.00 € ,PROFESSOR-002, 300.00 € ,07/10/2021,TARDE,COMERCIAL-004, 31.25 € ,SIM,ESPANHA,MADRI,SIM
CÓD-011,WINDOWS,30,CLIENTE-007, 750.00 € ,PROFESSOR-001, 360.00 € ,07/02/2020,NOITE,COMERCIAL-001, 37.50 € ,SIM,ESPANHA,MADRI,SIM
CÓD-012,WINDOWS,40,CLIENTE-005," 1,000.00 € ",PROFESSOR-004, 480.00 € ,11/03/2021,NOITE,COMERCIAL-003, 50.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-013,WINDOWS,35,CLIENTE-006, 875.00 € ,PROFESSOR-005, 420.00 € ,19/03/2019,NOITE,COMERCIAL-002, 43.75 € ,SIM,FRANÇA,PARIS,SIM
CÓD-014,INTERNET,45,CLIENTE-008," 1,125.00 € ",PROFESSOR-002, 540.00 € ,19/08/2019,TARDE,COMERCIAL-004, 56.25 € ,SIM,ESPANHA,MADRI,SIM
